"Variable","median_mda","iqr25","iqr75","tax_ID"
"Otu000199",0.135437083351417,0.118218978412426,0.157359776902658,"Clostridiales"
"Otu000297",0.13533555725118,0.111599626287657,0.167463643771648,"Lachnospiraceae"
"Otu000293",0.134950947918337,0.117373324466438,0.155367710655912,"Subdoligranulum"
"Otu000765",0.134462774188644,0.117478509018487,0.150431104431502,"Porphyromonadaceae"
"Otu000277",0.13379029207769,0.106943600972944,0.159876423077113,"Collinsella"
"Otu000739",0.133435471635094,0.106499069050531,0.171121405257836,"Streptococcus"
"Otu000209",0.132167638735502,0.120150488212456,0.148568307360131,"Dorea"
"Otu000579",0.131583410864986,0.109389040267869,0.167576223882734,"Bifidobacterium"
"Otu001141",0.130298041279095,0.110591874746854,0.159611885610826,"Ruminococcaceae"
"Otu000594",0.130231988945453,0.0956799803384985,0.170521173709186,"Bacteroides"
"Otu000633",0.129176469529762,0.0991596548311109,0.161910609257837,"Clostridiales"
"Otu000802",0.128969045523934,0.104857980245567,0.178430428239342,"Ruminococcaceae"
"Otu000294",0.128787212866788,0.100447229699315,0.148006623044823,"Clostridiales"
"Otu000241",0.127264113955384,0.110845173798407,0.14377249079791,"Sporobacter"
"Otu000328",0.126788594660288,0.111899203680011,0.153796808643568,"Alistipes"
"Otu000377",0.125651673147784,0.107897250293049,0.140784035310066,"Lachnospiraceae"
"Otu000077",0.125203973438713,0.101344639037564,0.146313780355407,"Blautia"
"Otu000316",0.124950130849975,0.0958703810102295,0.148147406185801,"Lachnospiraceae"
"Otu000431",0.124816250350136,0.106752847437327,0.142365604446934,"Ruminococcaceae"
"Otu000704",0.124778947994875,0.098460215639857,0.154532430539302,"Ruminococcaceae"
"Otu000273",0.124344450734747,0.112837041556456,0.143983527126571,"Ruminococcaceae"
"Otu000893",0.123819863988315,0.0971420830252306,0.154906798986591,"Lactobacillus"
"Otu000236",0.123199356037483,0.102224671444769,0.144945627830324,"Actinomyces"
"Otu000032",0.122713775969566,0.104155891502327,0.137981862032296,"Faecalibacterium"
"Otu000419",0.121236483453618,0.100796895502482,0.145366417145919,"Bacteroidetes"
"Otu000670",0.120202058107646,0.0994106791691187,0.153556801516349,"Lachnospiraceae"
"Otu000333",0.11971023775366,0.108439216170274,0.130137842691848,"Clostridium XlVa"
"Otu000212",0.119703549961987,0.0942632884679912,0.145403524105715,"Paraprevotella"
"Otu000159",0.118970295407987,0.0905023073412772,0.139594471494193,"Bacteroides"
"Otu000418",0.118429040826707,0.101931542147401,0.144067786715126,"Alistipes"
"Otu000285",0.117807083512798,0.0873420591445155,0.148137891519495,"Collinsella"
"Otu000528",0.117250438559074,0.101348958554208,0.129836746908286,"Ruminococcaceae"
"Otu000880",0.116089848948589,0.106172388867936,0.130839923290149,"Bacteria"
"Otu000289",0.115950159011448,0.105288570662032,0.131661235603927,"Bacteria"
"Otu000478",0.1157565338282,0.0874608369841109,0.149178482292888,"Bacteroides"
"Otu000849",0.115529045747334,0.0950772869086623,0.137801721085569,"Firmicutes"
"Otu000604",0.115032313422412,0.0963261043024727,0.154815741802742,"Lachnospiraceae"
"Otu003436",0.114940559322772,0.0848557928641455,0.140233851717576,"Clostridiales"
"Otu000911",0.114489435859082,0.0946818762485638,0.136535208895126,"Lachnospiraceae"
"Otu000615",0.114230604818706,0.09561566335345,0.138458108016469,"Ruminococcaceae"
"Otu000504",0.114199396777773,0.0977017898660948,0.132575795799066,"Ruminococcaceae"
"Otu000402",0.11348073821426,0.102413143097719,0.130472433582397,"Firmicutes"
