"variables","variable","value"
"Otu000037","run_9",3.39041434161545
"Otu000001","run_9",3.91344637850199
"Otu000014","run_9",3.5044783607219
"Otu000002","run_9",3.50838291279778
"Otu000009","run_9",3.35567681350392
"Otu000012","run_9",3.54538883811267
"Otu000018","run_9",3.52460285173076
"Otu000013","run_9",3.51480668846013
"Otu000041","run_9",3.02240030578513
"Otu000026","run_9",2.92079832228844
"Otu000036","run_9",3.08333619057938
"Otu000059","run_9",3.27213496371226
"Otu000003","run_9",3.48509919680522
"Otu000020","run_9",3.35386526434454
"Otu000010","run_9",3.3032880863272
"Otu000007","run_9",3.55016741663315
"Otu000085","run_9",3.09303498019933
"Otu000290","run_9",3.14013201638557
"Otu000040","run_9",3.47583157084114
"Otu000155","run_9",3.2695480670235
"Otu000021","run_9",3.20530478844701
"Otu000393","run_9",2.69483717670585
"Otu000634","run_9",2.69856409234406
"Otu000016","run_9",3.1313539423588
"Otu000109","run_9",3.17923867823565
"Otu000044","run_9",3.13873531251216
"Otu000148","run_9",3.38009139437201
"Otu000146","run_9",3.35108842060472
"Otu000083","run_9",2.92963431646336
"Otu000108","run_9",3.11676492838676
"Otu000084","run_9",3.17189067284457
"Otu000028","run_9",2.74587473292421
"Otu000180","run_9",2.99176723200256
"Otu000088","run_9",3.00674269989987
"Otu000025","run_9",2.73778626676467
"Otu000315","run_9",2.34907924634153
"Otu000167","run_9",2.00073546290009
"Otu000605","run_9",2.24659935648149
"Otu000196","run_9",2.39534083634982
"Otu000202","run_9",2.01458115349638
"Otu000348","run_9",1.96555409895018
"Otu000199","run_9",2.09874879388509
"Otu000140","run_9",1.98351511979362
"Otu002106","run_9",2.21096110476322
"Otu000654","run_9",1.73122353133788
"Otu000209","run_9",1.56655649412855
"Otu001307","run_9",1.50958160351714
"Otu000808","run_9",1.45574693013175
"Otu000061","run_10",3.62600299232293
"Otu000058","run_10",3.94752033883369
"Otu000006","run_10",4.14368367419764
"Otu000015","run_10",4.29494755706966
"Otu000005","run_10",4.17166343411413
"Otu000004","run_10",3.75123255213462
"Otu000037","run_10",3.19698008975082
"Otu000001","run_10",4.14057061268206
"Otu000014","run_10",3.3446655058461
